seeds: 2880930400 17599561 549922357 200746426 1378552684 43534336 155057073 56546377 824205101 378503603 1678376802 130912435 2685513694 137778160 2492361384 188575752 3139914842 1092214826 2989476473 58874625

seed-to-soil map:
3431182349 2462840768 94753088
109346798 1433165724 15270960
2757148843 2811139249 245576554
1044349135 2294919620 59632486
833106078 270337377 106587498
3646970857 3645784598 75696293
0 2354552106 4006979
1974270838 376924875 384288247
3312369041 3462582028 114876394
2401284809 2758950936 52188313
1384988898 1199589429 192326650
963994743 2214565228 80354392
1939223776 1164542367 35047062
4006979 2148623273 65941955
2555779654 3725417805 75932697

water-to-light map:
1553071310 2767299260 81555093
1638385137 3758734 7165416
3923895602 3742459208 355646104
2563492152 40550035 317968
357175543 151852464 53516575
756535305 2730597762 36701498
1142337672 1915537677 164067723
436470886 2848854353 61956232
1316538987 1679005354 102639946
609765571 2079605400 146769734
1306405395 2660382036 10133592
3817572860 3406157555 106322742
2023184953 353497588 62195869
3531543848 4223491605 71475691
410692118 126073696 25778768
4279541706 3727562743 14896465
2903607795 1495097536 74179449
1794747312 2279656479 95385933
2783150325 2269091374 10565105
3406157555 4098105312 125386293
2145462956 205369039 148128549
2833741244 2401175172 69866551
793236803 685594104 306384629
1645550553 2511185277 149196759
1419178933 1781645300 133892377
1634626403 0 3758734
3274934245 2471041723 36449164
0 1097896179 357175543
2563810120 991978733 105917446
4294438171 3727033618 529125
2688189328 1569276985 94960997
2669727566 2507490887 3694390
3311383409 10924150 29625885
1099621432 2226375134 42716240
1890133245 2910810585 133051708
583632811 2375042412 26132760
498427118 40868003 85205693
2293591505 415693457 269900647
2673421956 1664237982 14767372
2085380822 2670515628 60082134
3603019539 3512480297 214553321
2977787244 3043862293 297147001
2793715430 1455071722 40025814

light-to-temperature map:
3752181853 3850028427 61847460
3392702182 4061054452 68370555
3610251302 4129425007 141930551
2019529001 2633762146 55812503
1423059901 2612524947 21237199
1637625157 3160312690 128493598
2109055159 2018596226 368399035
343891384 811352094 920120231
154347384 2422980947 189544000
2075341504 1978947609 33713655
1444297100 2966984633 193328057
35985686 2689574649 118361698
2477454194 0 811352094
1772053717 1854798742 124148867
1264011615 2807936347 159048286
0 2386995261 35985686
1766118755 2012661264 5934962
3814029313 3392702182 457326245
3461072737 3911875887 149178565
1896202584 1731472325 123326417

temperature-to-humidity map:
3344602117 2991074372 262457649
1707309180 3911386116 383581180
3778482785 2130995124 374719434
3607059766 3253532021 171423019
584508486 478912361 161371970
1578590582 2505714558 128718598
3294145751 1806488186 50456366
1143023241 2829557603 161516769
1304540010 1856944552 274050572
2090890360 3424955040 344665999
2435556359 1143023241 663464945
496214964 1000471163 88293522
0 640284331 360186832
3099021304 2634433156 195124447
360186832 342884229 136028132
745880456 0 342884229
4153202219 3769621039 141765077

humidity-to-location map:
3114211644 984440400 35385940
3530465412 479339778 128291026
0 3699707734 285474938
2898087648 3606829306 92878428
2762235329 607630804 135852319
4210792153 4197161772 84175143
3149597584 31394121 380867828
1848709689 0 31394121
1880103810 412261949 67077829
285474938 1579019790 1563234751
2990966076 3566305423 40523883
2434079297 1019826340 328156032
2371232521 3985182672 62846776
1947181639 3142254541 424050882
3899713715 1347982372 148315733
3031489959 1496298105 82721685
4197161772 4281336915 13630381
3658756438 743483123 240957277
